;Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
641;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0313015 ESCOLA MUNICIPAL REPUBLICA DO PERU;33073180;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ARQUIAS CORDEIRO, 508 MEIER. 20770-000 Rio de Janeiro - RJ.;(21) 22185502;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-22.898715293818196;-43.280473879634705
642;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0312032 ESCOLA MUNICIPAL REVERENDO ALVARO REIS;33073198;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;ESTR. ADHEMAR BEBIANO, 4341 ENGENHO DA RAINHA. 20765-171 Rio de Janeiro - RJ.;(21) 25938048;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado;-22.86695094;-43.29569645
643;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0313006 ESCOLA MUNICIPAL RIO DE JANEIRO;33073201;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PECANHA DA SILVA, 165 JACARE. 20780-340 Rio de Janeiro - RJ.;(21) 32784152;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-22.8933327;-43.264644
644;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0313036 ESCOLA MUNICIPAL RIO GRANDE DO SUL;33073210;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ADOLFO BERGAMINI, 201 ENGENHO DE DENTRO. 20730-000 Rio de Janeiro - RJ.;(21) 32729525;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-22.9003;-43.2958507
645;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0312022 ESCOLA MUNICIPAL RUBENS BERARDO;33073228;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA ITAOCA, 2326 BONSUCESSO. 21061-021 Rio de Janeiro - RJ.;(21) 38856066;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Educação de Jovens Adultos;;-22.8691663406789;-43.2747139781713
646;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0312013 ESCOLA MUNICIPAL SAO DOMINGOS;33073236;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;PCA. CONFEDERACAO SUICA S/N, DEL CASTILHO. 20010-000 Rio de Janeiro - RJ.;(21) 25733243;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-22.8799798;-43.2754094
647;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0313007 ESCOLA MUNICIPAL SARMIENTO;33073244;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA VINTE E QUATRO DE MAIO, 931 ENGENHO NOVO. 20950-092 Rio de Janeiro - RJ.;(21) 32784274;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos;;-22.903194199999998;-43.2678559
648;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0313012 ESCOLA MUNICIPAL SENADOR JOAO LYRA TAVARES;33073252;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA LUIZ BEZERRA, 2 Nº 2. LINS DE VASCONCELOS. 20710-160 Rio de Janeiro - RJ.;(21) 22185499;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado;-22.9056031;-43.2732883
649;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0313501 ESCOLA MUNICIPAL SENEGAL;33073260;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA VITOR MEIRELES, 161 RIACHUELO. 20950-230 Rio de Janeiro - RJ.;(21) 32785563;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-22.903229;-43.257952
650;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0313048 ESCOLA MUNICIPAL SERVULO DE LIMA;33073279;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ELIAS DA SILVA, 27 PIEDADE. 20740-210 Rio de Janeiro - RJ.;(21) 25835548;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-22.8896933;-43.3107411
651;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0313053 ESCOLA MUNICIPAL SUECIA;33073287;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA MATEUS DE ANDRADE, 42 PILARES. 20750-190 Rio de Janeiro - RJ.;(21) 25922188;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado;-22.87532464;-43.29919941
652;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0313043 ESCOLA MUNICIPAL TAGORE;33073295;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;PRACA FREDERICO DUVAL, S/N ABOLICAO. 20756-030 Rio de Janeiro - RJ.;(21) 32745507;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado;-22.8877617;-43.3024333
653;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0313029 ESCOLA MUNICIPAL THOMAS MANN;33073309;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA FERREIRA DE ANDRADE, 195 CACHAMBI. 20780-200 Rio de Janeiro - RJ.;(21) 22184587;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Educação de Jovens Adultos;;-22.8939391;-43.272613299999996
654;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0313041 ESCOLA MUNICIPAL TOBIAS BARRETO;33073317;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA POMPILIO DE ALBUQUERQUE, 62 ENCANTADO. 20745-125 Rio de Janeiro - RJ.;(21) 32742342;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-22.8972975;-43.302809499999995
655;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0313049 ESCOLA MUNICIPAL VIRGILIO DE MELO FRANCO;33073325;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ENGENHEIRO CLOVIS DAUDT, 310 AGUA SANTA. 20740-440 Rio de Janeiro - RJ.;(21) 25920387;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado;-22.9013168;-43.311654
656;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0313001 ESCOLA MUNICIPAL MARECHAL CARLOS MACHADO BITENCOURT;33073333;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DR GARNIER, 390 A TERREO. ROCHA. 20975-000 Rio de Janeiro - RJ.;(21) 22183824;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado;-22.897215600000003;-43.2481494
657;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE PASTOR MIRANDA PINTO;33073368;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;PRACA AVAI, 0 CACHAMBI. 20775-150 Rio de Janeiro - RJ.;(21) 23339582;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio, Educação de Jovens Adultos;;-22.892443399999998;-43.2766994
658;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA TECNICA REZENDE RAMMEL;33073384;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA LINS DE VASCONCELOS, 542 LINS DE VASCONCELOS. 20710-130 Rio de Janeiro - RJ.;(21) 32963550;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio, Educação Profissional;;-22.910239999999998;-43.28386
659;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INST BENHUR DE ENSINO LTDA IBE;33073392;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DIAS DA CRUZ, 79 2 ANDAR. MEIER. 20720-010 Rio de Janeiro - RJ.;(21) 22693182;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-22.903129999999997;-43.283809999999995
660;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO E CURSO GMT;33073406;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA PEDRO DE CARVALHO, 97 MEIER. 20723-230 Rio de Janeiro - RJ.;(21) 39792728;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;;-22.905929999999998;-43.289559999999994
661;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INSTITUTO EDUCACIONAL SAO BRAZ;33073490;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;R SAO BRAZ, 214 TODOS OS SANTOS. 20770-150 Rio de Janeiro - RJ.;(21) 25955952;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-22.891814;-43.2868764
662;ESCOLA PARALISADA;INSTITUTO NICIA MACIEIRA;33073503;RJ;Rio de Janeiro;Urbana;Não Informado;Privada;RUA DOS CARIJOS, 70 MEIER. 20720-360 Rio de Janeiro - RJ.;;Privada;Não Informado;Não;;;;;-22.90716;-43.28748
663;ESCOLA PARALISADA;INST SAO FRANCISCO DE SALES;33073546;RJ;Rio de Janeiro;Urbana;Não Informado;Privada;R LUIS ZANCHETA, 48 RIACHUELO. 20970-120 Rio de Janeiro - RJ.;;Privada;Não Informado;Não;;;;;-22.8948323;-43.2584157
664;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INST SAO JOAO BAPTISTA;33073554;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA MEDINA, 246 MEIER. 20735-130 Rio de Janeiro - RJ.;(21) 38991299;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-22.9007962;-43.2826386
665;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE ENSINO FARIA BRITO LTDA;33073597;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA MARIO PIRAGIBE, 42 LINS DE VASCONCELOS. 20720-320 Rio de Janeiro - RJ.;(21) 25978346;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-22.90918156;-43.28488845
666;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JARDIM ESCOLA BEM ME QUER;33073619;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA RAMIRO MAGALHAES, 186 ENGENHO DE DENTRO. 20730-460 Rio de Janeiro - RJ.;(21) 25913582;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;-22.901789800000003;-43.297366700000005
667;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JD ESC CASA VIVA;33073635;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA CONDESSA BELMONTE, 23 ENGENHO NOVO. 20710-280 Rio de Janeiro - RJ.;(21) 25818929;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-22.9068109;-43.2710286
668;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JD ESC CASTELINHO ENCANTADO;33073643;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DONA ROMANA, 638 ENGENHO NOVO. 20710-200 Rio de Janeiro - RJ.;(21) 25815772;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-22.91175;-43.2753
669;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JD ESC O CURUMIM LTDA;33073694;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ITAMARACA, 35 CACHAMBI. 20771-340 Rio de Janeiro - RJ.;(21) 25019776;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-22.8852572;-43.2759261
670;ESCOLA PARALISADA;JD ESC DAN DAN LTDA;33073708;RJ;Rio de Janeiro;Urbana;Não Informado;Privada;RUA PEDRO DE CARVALHO, 125 MEIER. 20725-232 Rio de Janeiro - RJ.;;Privada;Não Informado;Não;;;;;-22.90703;-43.289190000000005
