,Unnamed: 0,Unnamed: 0.1,Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude,Modalidade
3600,3691,3691,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO EDUCACIONAL COEDUCAR LTDA ME,33177490,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA PROFESSOR MOTTA MAIA, 146 RECREIO DOS BANDEIRANTES. 22795-275 Rio de Janeiro - RJ.",(21) 32175643,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.0198066666667,-43.455438333333305,2
3601,3693,3693,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRIANCARTES EDUCACAO INFANTIL EIRELI,33177520,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DEZENOVE DE FEVEREIRO, 115 BOTAFOGO. 22280-030 Rio de Janeiro - RJ.",(21) 25791802,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.952927243895804,-43.1862088758498,2
3602,3694,3694,ESCOLA PARALISADA,SISTEMA ELITE DE ENSINO,33177562,RJ,Rio de Janeiro,Urbana,Não Informado,Privada,"RUA ANDRE ROCHA, 838 TAQUARA. 22730-522 Rio de Janeiro - RJ.",,Privada,Não Informado,Não,,,,,-22.9327257,-43.3757632,2
3603,3695,3695,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO PH,33177627,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA ALBANO DE CARVALHO, 48 RECREIO DOS BANDEIRANTES. 22795-380 Rio de Janeiro - RJ.",(21) 34111013,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.021867,-43.4756021,15
3604,3696,3696,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESPACO NANDI FORMACAO DE ATORES,33177643,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"ESTRADA DOS BANDEIRANTES, 8591 SALA 327. JACAREPAGUA. 22783-115 Rio de Janeiro - RJ.",(21) 35004262,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Profissional,,-22.9548472,-43.3765899,5
3605,3698,3698,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INSTITUTO BRASILEIRO DE ENSINO E SERVICOS TECNICOS LTDA,33177821,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA FRANCISCO MANUEL, 172 BENFICA. 20911-270 Rio de Janeiro - RJ.",(21) 27784339,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",,-22.8923096,-43.2399713,35
3606,3700,3700,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE E PRE ESCOLA NOVA JERUSALEM,33177945,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA OURIQUE, 1111 PENHA CIRCULAR. 21011-130 Rio de Janeiro - RJ.",(21) 35708721,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.8236966,-43.28557720000001,2
3607,3701,3701,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO CURSO INTELLECTUS MEIER I,33177988,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA OLIVEIRA, 09 MEIER. 20725-040 Rio de Janeiro - RJ.",(21) 22299251,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Médio,,-22.90319477,-43.28174214,5
3608,3702,3702,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO EDUCACIONAL PERCEPCAO,33178038,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA CORONEL SOARES, 285 E 295 IRAJA. 21361-450 Rio de Janeiro - RJ.",(21) 33515047,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-22.8504037,-43.3294575,105
3609,3703,3703,ESCOLA PARALISADA,ESPACO CREARE,33178089,RJ,Rio de Janeiro,Urbana,Não Informado,Privada,"AVENIDA BRAZ DE PINA, 1558 VILA DA PENHA. 21210-675 Rio de Janeiro - RJ.",,Privada,Não Informado,Não,,,,,-22.8355116,-43.3182064,6
