,Semana,Municipio,Casos Novos,Casos Acumulados,Início da semana
98,2,Barra do Piraí,0.0,0.0,05/03/2020
99,2,Barra Mansa,0.0,0.5422640609070993,05/03/2020
100,2,Belford Roxo,0.0,0.3914614430051712,05/03/2020
101,2,Bom Jardim,0.0,0.0,05/03/2020
102,2,Bom Jesus do Itabapoana,0.0,0.0,05/03/2020
103,2,Cabo Frio,0.0,0.0,05/03/2020
104,2,Cachoeiras de Macacu,0.0,0.0,05/03/2020
105,2,Cambuci,0.0,0.0,05/03/2020
106,2,Carapebus,0.0,0.0,05/03/2020
107,2,Comendador Levy Gasparian,0.0,0.0,05/03/2020
108,2,Campos dos Goytacazes,0.0,0.0,05/03/2020
109,2,Cantagalo,0.0,0.0,05/03/2020
110,2,Cardoso Moreira,0.0,0.0,05/03/2020
111,2,Carmo,0.0,0.0,05/03/2020
112,2,Casimiro de Abreu,0.0,2.263262719536484,05/03/2020
113,2,Conceição de Macabu,0.0,0.0,05/03/2020
114,2,Cordeiro,0.0,0.0,05/03/2020
115,2,Duas Barras,0.0,0.0,05/03/2020
116,2,Duque de Caxias,0.0,0.9786906424125377,05/03/2020
117,2,Engenheiro Paulo de Frontin,0.0,0.0,05/03/2020
118,2,Guapimirim,0.0,0.0,05/03/2020
119,2,Iguaba Grande,0.0,0.0,05/03/2020
120,2,Itaboraí,0.0,0.0,05/03/2020
121,2,Itaguaí,0.0,0.0,05/03/2020
122,2,Italva,0.0,0.0,05/03/2020
123,2,Itaocara,0.0,0.0,05/03/2020
124,2,Itaperuna,0.0,0.0,05/03/2020
125,2,Itatiaia,0.0,0.0,05/03/2020
126,2,Japeri,0.0,0.0,05/03/2020
127,2,Laje do Muriaé,0.0,0.0,05/03/2020
128,2,Macaé,0.0,3.1168183518264554,05/03/2020
129,2,Macuco,0.0,0.0,05/03/2020
130,2,Magé,0.0,0.8160900310522257,05/03/2020
131,2,Mangaratiba,0.0,0.0,05/03/2020
132,2,Maricá,0.0,0.6203204575483695,05/03/2020
133,2,Mendes,0.0,0.0,05/03/2020
134,2,Mesquita,0.0,0.5678494971692702,05/03/2020
135,2,Miguel Pereira,0.0,0.0,05/03/2020
136,2,Miracema,0.0,0.0,05/03/2020
137,2,Natividade,0.0,0.0,05/03/2020
138,2,Nilópolis,0.0,0.0,05/03/2020
139,2,Niterói,0.5841303467397738,5.0624630050780395,05/03/2020
140,2,Nova Friburgo,0.0,0.5245736527637163,05/03/2020
141,2,Nova Iguaçu,0.0,0.12178369267641585,05/03/2020
142,2,Paracambi,0.0,0.0,05/03/2020
143,2,Paraíba do Sul,0.0,0.0,05/03/2020
144,2,Paraty,0.0,0.0,05/03/2020
145,2,Paty do Alferes,0.0,0.0,05/03/2020
146,2,Petrópolis,0.6531870629770307,6.858464161258822,05/03/2020
147,2,Pinheiral,0.0,0.0,05/03/2020
148,2,Piraí,0.0,0.0,05/03/2020
149,2,Porciúncula,0.0,0.0,05/03/2020
150,2,Porto Real,0.0,0.0,05/03/2020
151,2,Quatis,0.0,0.0,05/03/2020
152,2,Queimados,0.0,1.330503795262076,05/03/2020
153,2,Quissamã,0.0,0.0,05/03/2020
154,2,Resende,0.0,1.522753747877662,05/03/2020
155,2,Rio Bonito,0.0,0.0,05/03/2020
156,2,Rio Claro,0.0,0.0,05/03/2020
157,2,Rio das Flores,0.0,0.0,05/03/2020
158,2,Rio das Ostras,0.0,1.3273690218617678,05/03/2020
159,2,Rio de Janeiro,0.3869679321162993,3.988746377198778,05/03/2020
160,2,Santa Maria Madalena,0.0,0.0,05/03/2020
161,2,Santo Antônio de Pádua,0.0,0.0,05/03/2020
162,2,São Francisco de Itabapoana,0.0,0.0,05/03/2020
163,2,São Fidélis,0.0,0.0,05/03/2020
164,2,São Gonçalo,0.0,0.36871830750922485,05/03/2020
165,2,São João da Barra,0.0,0.0,05/03/2020
166,2,São João de Meriti,0.0,0.4233646482051456,05/03/2020
167,2,São José de Ubá,0.0,0.0,05/03/2020
168,2,São José do Vale do Rio Preto,0.0,0.0,05/03/2020
169,2,São Pedro da Aldeia,0.0,0.0,05/03/2020
170,2,São Sebastião do Alto,0.0,0.0,05/03/2020
171,2,Sapucaia,0.0,5.486065393899495,05/03/2020
172,2,Saquarema,0.0,0.0,05/03/2020
173,2,Seropédica,0.0,1.214889688016328,05/03/2020
174,2,Silva Jardim,0.0,0.0,05/03/2020
175,2,Sumidouro,0.0,0.0,05/03/2020
176,2,Tanguá,0.0,0.0,05/03/2020
177,2,Teresópolis,0.0,0.0,05/03/2020
178,2,Trajano de Moraes,0.0,0.0,05/03/2020
179,2,Três Rios,0.0,1.2224341108014278,05/03/2020
